SCAN_ROOT_COUNT	3
SCAN_FILE_COUNT	349
SCAN_TOTAL_BYTES	1215989873
CONTRACT_PATTERN	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d{1,9})?([+-]\d{2}:\d{2}|Z)$

=== PER-FILE ===
file	bytes	lines	extracted	shapes
landing\quarantine\25\golden-r73d-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\26\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\26\r9-qualityfail-103736.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\27\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\27\r9-prunefix-105922.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\28\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\28\r9-prunefix-110637.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\29\2026090509.jsonl	0	1	0	
landing\quarantine\29\2026090510.jsonl	0	1	0	
landing\quarantine\29\2026090511.jsonl	0	1	0	
landing\quarantine\29\2026090512.jsonl	0	1	0	
landing\quarantine\29\2026090513.jsonl	0	1	0	
landing\quarantine\29\2026090514.jsonl	0	1	0	
landing\quarantine\29\2026090515.jsonl	0	1	0	
landing\quarantine\29\2026090516.jsonl	0	1	0	
landing\quarantine\29\2026090517.jsonl	0	1	0	
landing\quarantine\29\2026090518.jsonl	0	1	0	
landing\quarantine\29\2026090519.jsonl	0	1	0	
landing\quarantine\29\2026090520.jsonl	0	1	0	
landing\quarantine\29\2026090521.jsonl	0	1	0	
landing\quarantine\29\2026090522.jsonl	0	1	0	
landing\quarantine\29\2026090523.jsonl	0	1	0	
landing\quarantine\29\2026090600.jsonl	0	1	0	
landing\quarantine\29\2026090601.jsonl	0	1	0	
landing\quarantine\29\2026090602.jsonl	0	1	0	
landing\quarantine\29\2026090603.jsonl	0	1	0	
landing\quarantine\29\2026090604.jsonl	0	1	0	
landing\quarantine\29\2026090605.jsonl	0	1	0	
landing\quarantine\29\2026090606.jsonl	0	1	0	
landing\quarantine\29\2026090607.jsonl	0	1	0	
